1 1000000,00 A1 andra numeral
2 1000000,00 A1 arton numeral
3 1000000,00 A1 bakre adjective
4 1000000,00 A1 brunch noun-en
5 1000000,00 A1 decimeter noun-en
6 1000000,00 A1 elva numeral
7 1000000,00 A1 ett numeral
8 1000000,00 A1 Europa proper name
9 1000000,00 A1 fem numeral
10 1000000,00 A1 femte numeral
11 1000000,00 A1 femtio numeral
12 1000000,00 A1 femton numeral
13 1000000,00 A1 fjorton numeral
14 1000000,00 A1 fjärde numeral
15 1000000,00 A1 främre adjective
16 1000000,00 A1 fyra numeral
17 1000000,00 A1 fyrtio numeral
18 1000000,00 A1 första numeral
19 1000000,00 A1 Grekland proper name
20 1000000,00 A1 Göteborg proper name
21 1000000,00 A1 hekto noun-ett
22 1000000,00 A1 hela noun-en
23 1000000,00 A1 hundra numeral
24 1000000,00 A1 hundratusen numeral
25 1000000,00 A1 hörsel noun-en
26 1000000,00 A1 inrikesminister noun-en
27 1000000,00 A1 inrikespolitik noun-en
28 1000000,00 A1 Italien proper name
29 1000000,00 A1 Kina proper name
30 1000000,00 A1 kvällsmål noun-ett
31 1000000,00 A1 känsel noun-en
32 1000000,00 A1 mellanmål noun-ett
33 1000000,00 A1 miljard numeral
34 1000000,00 A1 miljon numeral
35 1000000,00 A1 milligram noun-ett
36 1000000,00 A1 millimeter noun-en
37 1000000,00 A1 morbror noun-en
38 1000000,00 A1 månadsskifte noun-ett
39 1000000,00 A1 nia noun-en
40 1000000,00 A1 nio numeral
41 1000000,00 A1 nionde numeral
42 1000000,00 A1 nittio numeral
43 1000000,00 A1 nitton numeral
44 1000000,00 A1 nordost noun
45 1000000,00 A1 Norge proper name
46 1000000,00 A1 pingst noun-en
47 1000000,00 A1 Polen proper name
48 1000000,00 A1 Ryssland proper name
49 1000000,00 A1 sex numeral
50 1000000,00 A1 sexa noun-en
51 1000000,00 A1 sextio numeral
52 1000000,00 A1 sexton numeral
53 1000000,00 A1 sju numeral
54 1000000,00 A1 sjua noun-en
55 1000000,00 A1 sjunde numeral
56 1000000,00 A1 sjuttio numeral
57 1000000,00 A1 sjutton numeral
58 1000000,00 A1 sjätte numeral
59 1000000,00 A1 Stockholm proper name
60 1000000,00 A1 storasyster noun-en
61 1000000,00 A1 Storbritannien proper name
62 1000000,00 A1 syd noun
63 1000000,00 A1 sydväst noun
64 1000000,00 A1 sydöst noun
65 1000000,00 A1 syssling noun-en
66 1000000,00 A1 tia noun-en
67 1000000,00 A1 tio numeral
68 1000000,00 A1 tionde numeral
69 1000000,00 A1 tiotusen numeral
70 1000000,00 A1 tjugo numeral
71 1000000,00 A1 tolv numeral
72 1000000,00 A1 tre numeral
73 1000000,00 A1 tredje numeral
74 1000000,00 A1 trettio numeral
75 1000000,00 A1 tretton numeral
76 1000000,00 A1 tusen numeral
77 1000000,00 A1 två numeral
78 1000000,00 A1 utbildningsminister noun-en
79 1000000,00 A1 veckodag noun-en
80 1000000,00 A1 åtta noun-en
81 1000000,00 A1 åtta numeral
82 1000000,00 A1 åttio numeral
83 1000000,00 A1 åttonde numeral
84 1000000,00 A1 änkeman noun-en
85 1000000,00 A1 änkling noun-en
86 1000000,00 A1 ögonlock noun-ett
87 26019,68 A1 "och (vardagl. å  förk. o.)"
88 23017,26 A1 vara (vardagl. va) verb
89 19272,89 A1 i prep
90 15983,31 A1 ha verb
91 15935,58 A1 dess pronoun
92 14582,21 A1 det pronoun
93 14511,22 A1 en det
94 12734,70 A1 som pronoun
95 12591,15 A1 på prep
96 12462,73 A1 å prep
97 11540,13 A1 av prep
98 11408,82 A1 för prep
99 11271,57 A1 att subj
100 11119,08 A1 kunna verb
101 10411,19 A1 skola aux verb
102 9390,67 A1 jag pronoun
103 9073,55 A1 inte (formellt: icke, ej) adverb
104 8790,85 A1 med prep
105 8662,68 A1 till prep
106 8654,67 A1 liten adjective
107 6896,18 A1 den det
108 6314,26 A1 ett det
109 5649,00 A1 analog adjective
110 5559,15 A1 unna verb
111 5278,24 A1 om prep
112 4723,57 A1 vi pronoun
113 4545,97 A1 men conj
114 4446,34 A1 man pronoun
115 4437,26 A1 de (vardagl. dom) det
116 4060,39 A1 få verb
117 4004,97 A1 så adverb
118 3762,28 A1 som conj
119 3469,03 A1 sig (vardagl. sej) pronoun
120 3380,88 A1 han pronoun
121 3345,80 A1 de (vardagl. dom) pronoun
122 3293,35 A1 bli verb
123 3224,74 A1 komma verb
124 3221,41 A1 det det
125 3217,30 A1 sin pronoun
126 3138,92 A1 eller conj
127 3117,46 A1 från prep
128 3112,13 A1 mycket adverb
129 3004,91 A1 vilja verb
130 2975,47 A1 all pronoun
131 2942,04 A1 göra verb
132 2630,45 A1 om subj
133 2624,20 A1 annan pronoun
134 2581,46 A1 du pronoun
135 2565,69 A1 någon (vardagl. nån, förk. ngn) pronoun
136 2465,41 A1 finna verb
137 2452,40 A1 ta (el. taga) verb
138 2386,89 A1 när adverb
139 2253,32 A1 se verb
140 2214,95 A1 måste aux verb
141 2200,74 A1 detta pronoun
142 2046,73 A1 stor adjective
143 2033,06 A1 nu adverb
144 2001,14 A1 gå verb
145 1998,46 A1 säga verb
146 1981,49 A1 den pronoun
147 1911,20 A1 vad (vardagl. va) pronoun
148 1886,72 A1 år noun-ett
149 1867,88 A1 äga verb
150 1851,63 A1 under prep
151 1811,72 A1 betyda verb
152 1797,39 A1 också (vardagl. oxå) adverb
153 1790,68 A1 där adverb
154 1788,93 A1 då adverb
